country,epsilon,CRJ,High_Risk,Risk_Group
USA,0.2,69.6,True,High Risk (CRJ > 12.0)
BRA,0.32,29.2,True,High Risk (CRJ > 12.0)
RUS,0.27,25.7,True,High Risk (CRJ > 12.0)
ZAF,,,False,Normal (CRJ ≤ 12.0)
MEX,0.35,30.7,True,High Risk (CRJ > 12.0)
CHL,0.35,26.7,True,High Risk (CRJ > 12.0)
COL,0.34,32.2,True,High Risk (CRJ > 12.0)
TUR,0.36,25.3,True,High Risk (CRJ > 12.0)
DEU,0.3,17.2,True,High Risk (CRJ > 12.0)
ITA,0.28,22.4,True,High Risk (CRJ > 12.0)
GBR,0.24,12.4,True,High Risk (CRJ > 12.0)
JPN,0.26,12.5,True,High Risk (CRJ > 12.0)
FRA,0.32,12.2,True,High Risk (CRJ > 12.0)
CAN,0.34,4.38,False,Normal (CRJ ≤ 12.0)
NLD,0.2,4.63,False,Normal (CRJ ≤ 12.0)
ESP,0.26,8.54,False,Normal (CRJ ≤ 12.0)
IND,0.41,10.2,False,Normal (CRJ ≤ 12.0)
CHN,0.3,10.8,False,Normal (CRJ ≤ 12.0)
IDN,0.28,23.8,True,High Risk (CRJ > 12.0)
THA,0.39,17.5,True,High Risk (CRJ > 12.0)
VNM,0.27,12.8,True,High Risk (CRJ > 12.0)
PHL,0.33,13.4,True,High Risk (CRJ > 12.0)
EGY,0.35,14.7,True,High Risk (CRJ > 12.0)
IRN,0.34,16.2,True,High Risk (CRJ > 12.0)
PAK,0.26,12.4,True,High Risk (CRJ > 12.0)
BGD,0.26,12.4,True,High Risk (CRJ > 12.0)
NER,0.27,12.8,True,High Risk (CRJ > 12.0)
CIV,0.38,18.5,True,High Risk (CRJ > 12.0)
DZA,0.35,14.7,True,High Risk (CRJ > 12.0)
ARE,0.33,14.2,True,High Risk (CRJ > 12.0)
AUS,0.24,11.7,False,Normal (CRJ ≤ 12.0)
NZL,0.25,11.7,False,Normal (CRJ ≤ 12.0)
CHE,0.36,16.9,True,High Risk (CRJ > 12.0)
BEL,0.17,10.7,False,Normal (CRJ ≤ 12.0)
FIN,0.24,11.1,False,Normal (CRJ ≤ 12.0)
PRT,0.34,13.1,True,High Risk (CRJ > 12.0)
CZE,0.3,12.1,True,High Risk (CRJ > 12.0)
SVK,0.24,6.64,False,Normal (CRJ ≤ 12.0)
HUN,0.38,17.2,True,High Risk (CRJ > 12.0)
NOR,0.34,14.6,True,High Risk (CRJ > 12.0)
