Year,USA,DEU,JPN,GBR,FRA
2000,112.540983606557,14.36,12.258403,11.200803,10.689046
2001,109.983870967742,14.797927,12.357294,10.700971,10.263339
2002,109.91935483871,15.519022,12.551282,11.045817,9.654485
2003,162.309523809524,16.224432,12.677419,10.242481,9.535774
2004,176.076923076923,17.572727,12.873913,9.412892,9.384106
2005,146.021276595745,19.0,12.921569,9.483363,9.217822
2006,382.055555555556,20.316151,12.995624,9.7041,9.662651
2007,-178.641025641026,22.690566,13.037281,9.034884,10.186715
2008,-57.869918699187,24.309237,12.80303,8.527734,9.991119
2009,-39.169398907104,22.01107,12.59743,11.31185,10.588785
2010,-40.098901098901,20.177474,12.75162,11.036364,12.308017
2011,-41.308988764045,18.839744,12.713362,13.232227,11.444444
2012,-45.323170731707,17.492492,12.719828,12.456376,10.737336
2013,-62.109243697479,16.809798,12.75594,13.295082,11.371316
2014,-94.397435897436,17.102041,12.75378,14.747449,11.763527
2015,-130.732142857143,17.104956,12.760259,12.469163,11.907071
2016,-181.95,17.157895,12.75594,13.045662,11.789157
2017,-2394.66666666667,17.078717,12.75162,13.446262,11.860887
2018,1194.16666666667,17.258065,12.75378,12.314655,12.030488
2019,324.590909090909,17.075802,12.75378,12.194861,11.993915
2020,73.2,16.99,12.75,12.1,11.95
2021,69.8,17.05,12.74,12.05,11.92
2022,71.5,17.1,12.73,12.0,11.9
2023,73.2,16.99,12.75,12.1,11.95
